1.2773e+05,2.9805e-14,2.2845e-13
1.3487e+05,2.9808e-14,2.2845e-13
1.4241e+05,2.9811e-14,2.2845e-13
1.5036e+05,2.9814e-14,2.2845e-13
1.5876e+05,2.9818e-14,2.2845e-13
1.6764e+05,2.9821e-14,2.2845e-13
1.77e+05,2.9825e-14,2.2845e-13
1.8689e+05,2.983e-14,2.2845e-13
1.9734e+05,2.9834e-14,2.2845e-13
2.0836e+05,2.9839e-14,2.2845e-13
2.2e+05,2.9844e-14,2.2845e-13
2.323e+05,2.9849e-14,2.2845e-13
2.4528e+05,2.9854e-14,2.2845e-13
2.5898e+05,2.986e-14,2.2845e-13
2.7345e+05,2.9866e-14,2.2845e-13
2.8873e+05,2.9873e-14,2.2845e-13
3.0486e+05,2.9879e-14,2.2845e-13
3.219e+05,2.9887e-14,2.2845e-13
3.3989e+05,2.9894e-14,2.2845e-13
3.5888e+05,2.9902e-14,2.2845e-13
3.7893e+05,2.9911e-14,2.2845e-13
4.001e+05,2.9919e-14,2.2845e-13
4.2246e+05,2.9929e-14,2.2845e-13
4.4606e+05,2.9939e-14,2.2845e-13
4.7099e+05,2.9949e-14,2.2845e-13
4.9731e+05,2.996e-14,2.2845e-13
5.2509e+05,2.9972e-14,2.2845e-13
5.5443e+05,2.9984e-14,2.2845e-13
5.8541e+05,2.9997e-14,2.2845e-13
6.1812e+05,3.0011e-14,2.2845e-13
6.5266e+05,3.0026e-14,2.2845e-13
6.8913e+05,3.0041e-14,2.2845e-13
7.2764e+05,3.0057e-14,2.2845e-13
7.6829e+05,3.0075e-14,2.2845e-13
8.1122e+05,3.0093e-14,2.2845e-13
8.5655e+05,3.0112e-14,2.2845e-13
9.0441e+05,3.0132e-14,2.2845e-13
9.5495e+05,3.0154e-14,2.2845e-13
1.0083e+06,3.0176e-14,2.2845e-13
1.0646e+06,3.02e-14,2.2845e-13
1.1241e+06,3.0226e-14,2.2845e-13
1.1869e+06,3.0252e-14,2.2845e-13
1.2533e+06,3.0281e-14,2.2845e-13
1.3233e+06,3.0311e-14,2.2845e-13
1.3972e+06,3.0342e-14,2.2845e-13
1.4753e+06,3.0376e-14,2.2845e-13
1.5577e+06,3.0411e-14,2.2845e-13
1.6448e+06,3.0449e-14,2.2845e-13
1.7367e+06,3.0489e-14,2.2845e-13
1.8337e+06,3.053e-14,2.2845e-13
1.9362e+06,3.0575e-14,2.2845e-13
2.0444e+06,3.0622e-14,2.2846e-13
2.1586e+06,3.0671e-14,2.2846e-13
2.2792e+06,3.0724e-14,2.2846e-13
