73746,3.215e+36
91968,3.215e+36
1.1469e+05,3.215e+36
1.4303e+05,3.215e+36
1.7837e+05,3.215e+36
2.2245e+05,3.215e+36
2.7741e+05,3.215e+36
3.4596e+05,3.215e+36
4.3144e+05,3.215e+36
5.3804e+05,3.215e+36
6.7099e+05,3.215e+36
8.3678e+05,3.215e+36
1.0435e+06,3.215e+36
1.3014e+06,3.215e+36
1.6229e+06,3.215e+36
2.024e+06,3.215e+36
2.524e+06,3.215e+36
3.1477e+06,3.215e+36
3.9255e+06,3.215e+36
4.8954e+06,3.215e+36
6.105e+06,3.215e+36
7.6135e+06,3.215e+36
9.4947e+06,3.2149e+36
1.1841e+07,3.2148e+36
1.4766e+07,3.2147e+36
1.8415e+07,3.2145e+36
2.2965e+07,3.2143e+36
2.864e+07,3.2138e+36
3.5716e+07,3.2132e+36
4.4541e+07,3.2122e+36
5.5547e+07,3.2106e+36
6.9272e+07,3.2084e+36
8.6388e+07,3.205e+36
1.0773e+08,3.2004e+36
1.3435e+08,3.1944e+36
1.6755e+08,3.188e+36
2.0895e+08,3.1845e+36
2.6058e+08,3.1931e+36
3.2497e+08,3.234e+36
4.0526e+08,3.3448e+36
5.054e+08,3.5746e+36
6.3028e+08,3.9516e+36
7.8601e+08,4.4673e+36
9.8023e+08,5.1858e+36
1.2224e+09,6.2062e+36
1.5245e+09,7.5683e+36
1.9012e+09,9.319e+36
2.3709e+09,1.1531e+37
2.9567e+09,1.4301e+37
3.6873e+09,1.775e+37
