73746,2.1075e+36
91968,2.1075e+36
1.1469e+05,2.1075e+36
1.4303e+05,2.1075e+36
1.7837e+05,2.1075e+36
2.2245e+05,2.1075e+36
2.7741e+05,2.1075e+36
3.4596e+05,2.1075e+36
4.3144e+05,2.1075e+36
5.3804e+05,2.1075e+36
6.7099e+05,2.1075e+36
8.3678e+05,2.1076e+36
1.0435e+06,2.1076e+36
1.3014e+06,2.1076e+36
1.6229e+06,2.1076e+36
2.024e+06,2.1076e+36
2.524e+06,2.1076e+36
3.1477e+06,2.1076e+36
3.9255e+06,2.1077e+36
4.8954e+06,2.1078e+36
6.105e+06,2.1079e+36
7.6135e+06,2.1081e+36
9.4947e+06,2.1085e+36
1.1841e+07,2.109e+36
1.4766e+07,2.1097e+36
1.8415e+07,2.111e+36
2.2965e+07,2.1129e+36
2.864e+07,2.1158e+36
3.5716e+07,2.1204e+36
4.4541e+07,2.1274e+36
5.5547e+07,2.1383e+36
6.9272e+07,2.155e+36
8.6388e+07,2.1804e+36
1.0773e+08,2.2188e+36
1.3435e+08,2.2757e+36
1.6755e+08,2.3579e+36
2.0895e+08,2.4727e+36
2.6058e+08,2.625e+36
3.2497e+08,2.816e+36
4.0526e+08,3.0462e+36
5.054e+08,3.332e+36
6.3028e+08,3.7229e+36
7.8601e+08,4.2877e+36
9.8023e+08,5.0822e+36
1.2224e+09,6.1487e+36
1.5245e+09,7.5336e+36
1.9012e+09,9.2972e+36
2.3709e+09,1.1517e+37
2.9567e+09,1.4292e+37
3.6873e+09,1.7744e+37
